instrument_id,customer_behavior_score,number_of_uses,surgery_type,surgery_complexity,surgeon_experience_level,time_since_last_maintenance_days,previous_repair_count,sterilization_frequency,failure_count_last_12_months
INS-1155,0.77,288,Cardiac,High,Intermediate,142,1,12,4
INS-1156,0.85,119,Cardiac,Low,Resident,54,3,24,2
INS-1157,0.5,289,Orthopedic,Low,Expert,127,2,33,2
INS-1158,0.93,226,Cardiac,Medium,Resident,61,4,22,3
INS-1159,0.92,180,Orthopedic,Medium,Expert,121,4,34,1
INS-1160,0.42,251,Neuro,Medium,Intermediate,144,4,19,2
INS-1161,0.9,182,Neuro,Low,Intermediate,164,4,14,2
INS-1162,0.48,287,Cardiac,High,Expert,121,1,33,3
INS-1163,0.6,267,Orthopedic,High,Expert,22,2,20,4
INS-1164,0.85,238,General,Medium,Resident,26,4,32,5
INS-1165,0.5,262,Neuro,Medium,Expert,53,0,23,6
INS-1166,0.89,286,Orthopedic,Low,Intermediate,150,2,34,4
INS-1167,0.9,139,Orthopedic,High,Resident,82,1,29,5
INS-1168,0.7,279,Orthopedic,Medium,Expert,14,4,24,1
INS-1169,0.4,285,Cardiac,Low,Expert,42,1,22,2
INS-1170,0.57,75,General,Medium,Resident,141,4,12,5
INS-1171,0.77,121,Cardiac,Low,Expert,163,0,18,4
INS-1172,0.99,54,Neuro,High,Intermediate,77,2,17,3
INS-1173,0.78,64,Cardiac,Low,Resident,25,0,24,1
INS-1174,0.56,172,Orthopedic,Medium,Expert,159,4,32,1
INS-1175,0.78,193,Cardiac,Medium,Intermediate,45,3,10,4
INS-1176,0.72,50,Orthopedic,High,Expert,111,2,11,4
INS-1177,0.87,193,General,High,Resident,172,1,18,3
INS-1178,0.46,214,Cardiac,Medium,Expert,34,4,30,4
INS-1179,0.86,52,Cardiac,Medium,Expert,81,0,26,3
INS-1180,0.72,229,Cardiac,Medium,Expert,90,3,18,4
INS-1181,0.98,96,Orthopedic,High,Intermediate,70,4,10,0
INS-1182,0.61,144,Orthopedic,Medium,Intermediate,27,1,17,1
INS-1183,0.78,62,Cardiac,High,Expert,67,0,14,3
INS-1184,0.96,169,Cardiac,Medium,Expert,85,2,20,0
INS-1185,0.46,257,General,Low,Resident,130,3,15,1
INS-1186,0.96,104,General,Low,Expert,66,4,26,1
INS-1187,0.81,284,Neuro,Medium,Resident,106,4,27,1
INS-1188,0.44,198,General,Low,Intermediate,72,4,32,2
INS-1189,0.58,115,General,High,Expert,21,4,27,3
INS-1190,0.82,231,General,Low,Resident,20,0,14,0
INS-1191,0.44,204,Orthopedic,Low,Intermediate,150,2,34,3
INS-1192,0.75,215,General,High,Resident,172,1,14,1
INS-1193,0.61,139,General,Low,Intermediate,36,3,28,2
INS-1194,0.77,235,Cardiac,Low,Expert,113,4,22,3
INS-1195,0.43,111,Orthopedic,Medium,Resident,76,4,31,2
INS-1196,0.92,151,Neuro,High,Expert,98,2,16,3
INS-1197,0.98,223,Neuro,High,Resident,54,2,23,2
INS-1198,0.98,266,General,Medium,Intermediate,90,0,17,1
INS-1199,0.85,188,Neuro,Medium,Resident,76,0,12,2
INS-1200,0.48,249,Neuro,Low,Resident,159,0,13,3
INS-1201,0.85,57,Neuro,Low,Expert,111,3,19,4
INS-1202,0.41,146,General,Low,Expert,100,0,13,3
INS-1203,0.41,166,Neuro,Medium,Expert,51,4,27,5
INS-1204,0.59,248,General,High,Intermediate,29,0,32,6
INS-1205,0.69,113,Cardiac,Low,Expert,57,3,21,4
INS-1206,0.86,279,Cardiac,Medium,Resident,27,0,29,4
INS-1207,0.81,70,Neuro,High,Intermediate,137,0,29,4
INS-1208,0.67,249,Cardiac,Medium,Expert,86,4,24,6
INS-1209,0.56,164,General,Low,Resident,15,4,22,5
INS-1210,1.0,295,Cardiac,Medium,Resident,48,4,21,2
INS-1211,0.66,240,Neuro,Medium,Intermediate,20,0,17,6
INS-1212,0.67,134,General,Medium,Resident,121,4,31,5
INS-1213,0.5,241,Orthopedic,Medium,Expert,162,2,31,3
INS-1214,0.88,297,General,High,Resident,117,1,18,1
INS-1215,0.82,69,Cardiac,Low,Expert,103,1,29,1
INS-1216,0.53,57,Orthopedic,High,Expert,64,4,18,4
INS-1217,0.45,107,General,Medium,Intermediate,93,3,26,3
INS-1218,0.81,95,Orthopedic,Medium,Resident,67,4,34,7
INS-1219,0.79,80,Orthopedic,Low,Intermediate,46,4,10,4
INS-1220,0.56,291,Orthopedic,Low,Intermediate,25,0,32,2
INS-1221,0.97,298,General,High,Intermediate,79,3,15,1
INS-1222,0.49,142,Cardiac,High,Expert,102,4,16,4
INS-1223,0.66,289,General,Low,Expert,174,2,18,2
INS-1224,0.97,58,Cardiac,High,Expert,153,1,19,2
INS-1225,0.65,64,General,Medium,Expert,27,2,13,4
INS-1226,0.78,143,General,Medium,Resident,156,2,25,4
INS-1227,0.64,203,General,Low,Resident,139,2,21,1
INS-1228,0.56,187,Cardiac,High,Expert,147,3,18,2
INS-1229,0.99,78,General,Medium,Expert,55,3,12,4
INS-1230,0.65,295,Orthopedic,Low,Resident,28,3,18,3
INS-1231,0.94,129,General,High,Intermediate,47,1,26,0
INS-1232,0.54,85,Orthopedic,Medium,Intermediate,46,0,23,4
INS-1233,0.53,133,Neuro,High,Expert,121,4,14,6
INS-1234,0.42,158,Neuro,High,Intermediate,54,4,30,6
INS-1235,0.79,167,Cardiac,High,Expert,126,0,10,3
INS-1236,0.62,86,Cardiac,Low,Expert,171,4,10,3
INS-1237,0.92,135,Neuro,Medium,Expert,139,2,12,0
INS-1238,0.68,120,General,Low,Resident,53,1,18,2
INS-1239,0.98,200,General,Medium,Intermediate,106,4,32,2
INS-1240,0.51,218,General,Medium,Resident,92,1,15,5
INS-1241,0.92,281,Neuro,Low,Intermediate,133,0,18,2
INS-1242,0.87,142,Orthopedic,Low,Resident,133,4,13,4
INS-1243,0.86,129,Cardiac,Medium,Resident,36,1,29,5
INS-1244,0.91,151,Orthopedic,Medium,Expert,57,2,28,2
INS-1245,0.86,205,Neuro,Medium,Expert,103,2,14,2
INS-1246,0.78,225,Orthopedic,High,Resident,16,0,14,5
INS-1247,0.48,215,General,Medium,Intermediate,164,3,23,2
INS-1248,0.42,208,General,Low,Intermediate,94,4,19,3
INS-1249,0.95,63,Orthopedic,Low,Expert,121,2,32,3
INS-1250,0.77,166,Neuro,Low,Expert,98,2,25,3
INS-1251,0.88,274,Orthopedic,Medium,Intermediate,137,0,32,1
INS-1252,0.69,298,General,Medium,Intermediate,27,2,15,1
INS-1253,0.47,122,General,High,Intermediate,42,4,29,4
INS-1254,0.48,298,Neuro,High,Expert,170,0,32,2
INS-1255,0.81,140,Orthopedic,Low,Intermediate,105,1,23,2
INS-1256,0.66,265,General,High,Expert,131,0,27,2
INS-1257,0.52,254,General,High,Resident,34,4,18,1
INS-1258,0.69,139,Orthopedic,Low,Resident,151,4,16,4
INS-1259,0.44,78,Orthopedic,Medium,Resident,175,1,27,3
INS-1260,0.75,228,Cardiac,High,Intermediate,175,0,19,2
INS-1261,0.56,98,Neuro,Medium,Expert,13,4,11,6
INS-1262,0.88,220,Neuro,Low,Intermediate,117,4,22,3
INS-1263,0.59,269,Orthopedic,Low,Expert,91,1,15,4
INS-1264,0.67,269,Neuro,High,Intermediate,19,3,32,3
INS-1265,0.41,121,General,Low,Resident,44,0,18,1
INS-1266,0.44,264,Orthopedic,Low,Expert,108,4,29,2
INS-1267,0.64,270,Orthopedic,Low,Intermediate,113,2,17,0
INS-1268,0.69,182,Orthopedic,High,Expert,32,1,19,2
INS-1269,0.76,91,Cardiac,High,Expert,74,3,25,3
INS-1270,0.57,184,Neuro,High,Intermediate,91,3,24,2
INS-1271,0.82,91,Cardiac,Low,Intermediate,162,1,22,5
INS-1272,0.92,213,General,Medium,Expert,26,3,27,4
INS-1273,0.87,154,Neuro,Low,Expert,157,4,15,2
INS-1274,0.42,76,Cardiac,High,Resident,137,3,29,3
INS-1275,0.69,107,Orthopedic,Medium,Expert,162,0,33,1
INS-1276,0.46,95,Cardiac,Medium,Resident,179,2,18,1
INS-1277,0.55,115,Orthopedic,High,Resident,40,4,27,2
INS-1278,0.99,74,Cardiac,Medium,Resident,74,1,16,2
INS-1279,0.49,122,Cardiac,Medium,Expert,89,2,32,3
INS-1280,0.7,166,Cardiac,High,Resident,101,4,33,0
INS-1281,0.77,204,Orthopedic,Medium,Expert,158,2,14,3
INS-1282,0.82,178,Cardiac,Medium,Expert,39,3,20,1
INS-1283,0.74,136,Neuro,High,Intermediate,132,1,22,3
INS-1284,0.41,123,Neuro,Medium,Expert,140,1,12,2
INS-1285,0.6,219,Neuro,Medium,Expert,79,0,10,5
INS-1286,0.71,229,Orthopedic,Medium,Resident,38,3,13,2
INS-1287,0.45,202,Orthopedic,Medium,Expert,12,0,28,2
INS-1288,0.61,231,Neuro,High,Expert,170,0,27,0
INS-1289,0.42,174,Neuro,Low,Intermediate,84,3,15,3
INS-1290,0.45,116,Neuro,Low,Intermediate,54,4,32,0
INS-1291,0.64,55,General,Medium,Resident,78,0,19,7
INS-1292,0.48,174,Neuro,High,Resident,169,2,16,2
INS-1293,0.74,107,Cardiac,High,Intermediate,120,4,21,2
INS-1294,0.81,119,General,Medium,Intermediate,93,3,17,2
INS-1295,0.88,102,General,Low,Expert,61,1,22,3
INS-1296,0.52,115,Orthopedic,Medium,Resident,125,4,27,1
INS-1297,0.5,107,Cardiac,High,Resident,112,0,23,1
INS-1298,0.46,299,Orthopedic,High,Expert,177,2,20,5
INS-1299,0.78,131,Orthopedic,Low,Expert,150,3,19,3
INS-1300,0.82,136,Cardiac,High,Resident,89,1,15,8
INS-1301,0.42,51,Orthopedic,High,Intermediate,38,2,22,2
INS-1302,0.96,253,Cardiac,High,Intermediate,163,1,31,4
INS-1303,0.43,199,Cardiac,Low,Expert,111,3,19,0
INS-1304,0.72,86,Orthopedic,High,Resident,68,4,21,0
INS-1305,0.83,197,Neuro,Medium,Expert,168,0,10,3
INS-1306,0.92,152,Orthopedic,Low,Intermediate,21,3,27,4
INS-1307,0.83,73,General,Medium,Intermediate,173,2,22,2
INS-1308,0.88,161,Orthopedic,Medium,Expert,19,4,34,2
INS-1309,0.6,261,Cardiac,Low,Intermediate,143,1,33,4
INS-1310,0.89,114,General,Medium,Resident,144,4,13,5
INS-1311,0.45,242,Cardiac,Low,Expert,40,4,15,5
INS-1312,0.94,258,Neuro,Medium,Expert,100,2,27,1
INS-1313,0.73,178,Neuro,Low,Expert,12,0,14,2
INS-1314,0.89,166,General,High,Intermediate,113,4,27,4
INS-1315,0.67,165,Neuro,High,Resident,135,4,14,4
INS-1316,0.79,286,Neuro,Medium,Expert,10,0,16,1
INS-1317,0.72,271,Orthopedic,High,Expert,144,0,32,3
INS-1318,0.84,154,Orthopedic,Low,Intermediate,24,1,18,1
INS-1319,0.45,288,Neuro,Medium,Resident,98,1,12,0
INS-1320,0.44,52,Neuro,High,Expert,167,0,21,3
INS-1321,0.55,95,Orthopedic,High,Intermediate,131,3,29,2
INS-1322,0.5,104,Neuro,Medium,Expert,125,0,34,5
INS-1323,0.92,124,Neuro,High,Intermediate,45,1,23,3
INS-1324,0.53,265,Cardiac,High,Resident,76,2,17,4
INS-1325,0.99,263,Neuro,Medium,Intermediate,142,2,21,3
INS-1326,0.6,241,General,High,Expert,34,4,16,4
INS-1327,0.51,285,Cardiac,High,Expert,20,2,33,1
INS-1328,0.87,94,General,High,Intermediate,75,1,18,3
INS-1329,0.8,203,Neuro,High,Resident,165,2,21,3
INS-1330,0.7,126,Orthopedic,Medium,Resident,69,3,13,1
INS-1331,0.73,242,Cardiac,Low,Expert,147,0,14,3
INS-1332,0.83,73,Orthopedic,Low,Expert,59,0,18,5
INS-1333,0.54,251,Cardiac,High,Intermediate,176,1,16,2
INS-1334,1.0,84,Orthopedic,High,Intermediate,174,4,23,2
INS-1335,0.98,73,Cardiac,Low,Intermediate,72,0,29,3
INS-1336,0.79,77,Cardiac,High,Resident,101,2,31,0
INS-1337,0.52,277,General,Low,Resident,47,3,26,3
INS-1338,0.81,257,Orthopedic,Medium,Expert,129,4,10,2
INS-1339,0.44,281,General,Medium,Expert,42,4,34,5
INS-1340,0.42,65,General,Medium,Expert,84,4,24,2
INS-1341,0.55,108,Orthopedic,Medium,Intermediate,54,0,33,5
INS-1342,0.68,258,Cardiac,Medium,Resident,138,4,24,4
INS-1343,0.92,292,General,Medium,Expert,62,1,10,5
INS-1344,0.84,231,Orthopedic,Low,Expert,170,2,24,6
INS-1345,0.85,256,Cardiac,High,Expert,76,3,11,3
INS-1346,0.66,193,General,Low,Expert,152,2,13,1
INS-1347,0.61,64,General,Medium,Expert,114,1,26,6
INS-1348,0.62,298,General,High,Expert,23,1,25,1
INS-1349,0.99,275,Cardiac,High,Resident,160,2,27,2
INS-1350,0.42,60,General,Medium,Expert,133,0,30,0
INS-1351,0.92,242,Cardiac,Medium,Resident,129,1,25,1
INS-1352,0.75,128,Neuro,Medium,Intermediate,145,4,17,2
INS-1353,0.66,267,General,Medium,Resident,45,3,15,3
INS-1354,0.84,164,Neuro,Medium,Intermediate,137,3,31,2
INS-1355,0.69,117,Orthopedic,Medium,Resident,143,1,29,4
INS-1356,0.92,92,General,High,Resident,106,4,11,6
INS-1357,0.94,118,Orthopedic,Medium,Expert,165,2,28,2
INS-1358,0.65,276,Orthopedic,Medium,Resident,175,3,22,2
INS-1359,0.57,190,Orthopedic,High,Resident,167,4,31,3
INS-1360,0.76,187,Neuro,Low,Expert,90,4,31,5
INS-1361,0.95,124,Cardiac,Medium,Intermediate,82,0,30,1
INS-1362,0.53,259,Neuro,High,Expert,80,1,15,3
INS-1363,0.77,275,Neuro,High,Expert,55,4,15,4
INS-1364,0.78,152,Orthopedic,Low,Expert,165,2,22,1
INS-1365,0.84,90,General,Medium,Intermediate,154,3,10,2
INS-1366,0.48,283,Cardiac,Medium,Resident,69,0,31,4
INS-1367,0.83,227,Orthopedic,Medium,Resident,69,2,30,1
INS-1368,0.95,264,Cardiac,High,Expert,14,3,33,2
INS-1369,0.51,248,Neuro,Medium,Expert,144,1,18,1
INS-1370,0.54,108,Cardiac,Medium,Resident,154,2,31,0
INS-1371,0.98,88,Cardiac,Medium,Resident,68,3,21,2
INS-1372,0.51,52,General,Medium,Resident,18,0,21,2
INS-1373,0.91,253,Orthopedic,Low,Intermediate,159,3,13,3
INS-1374,0.7,56,Cardiac,Low,Intermediate,54,4,28,3
INS-1375,0.55,98,Cardiac,Low,Expert,89,0,25,2
INS-1376,0.92,75,Neuro,Medium,Intermediate,22,2,21,3
INS-1377,0.67,210,Neuro,Medium,Expert,92,1,10,1
INS-1378,0.71,150,Cardiac,High,Resident,21,0,32,5
INS-1379,0.62,225,Orthopedic,High,Resident,173,0,30,2
INS-1380,0.76,128,Cardiac,High,Expert,19,0,13,3
INS-1381,0.5,51,Cardiac,Medium,Resident,25,3,18,4
INS-1382,0.63,282,General,Low,Expert,101,4,16,3
INS-1383,0.98,176,Orthopedic,Low,Expert,28,1,19,5
INS-1384,0.55,248,General,Low,Expert,113,1,22,4
INS-1385,0.79,209,Orthopedic,Medium,Intermediate,143,4,17,2
INS-1386,0.6,181,Orthopedic,Low,Expert,141,3,29,5
INS-1387,0.86,69,Orthopedic,High,Expert,167,3,19,1
INS-1388,0.48,291,General,High,Expert,112,4,19,5
INS-1389,0.98,166,General,Low,Intermediate,104,4,17,1
INS-1390,0.67,213,General,High,Resident,36,2,29,0
INS-1391,0.54,81,Neuro,Low,Intermediate,46,3,24,7
INS-1392,0.44,77,General,Low,Expert,146,0,10,2
INS-1393,0.5,126,Neuro,High,Intermediate,70,1,24,3
INS-1394,0.71,50,Neuro,High,Resident,44,3,33,1
INS-1395,0.6,237,Neuro,High,Resident,115,4,26,0
INS-1396,0.9,105,Cardiac,High,Expert,56,0,22,4
INS-1397,0.66,84,Cardiac,Low,Resident,158,2,21,3
INS-1398,0.55,161,Cardiac,High,Intermediate,154,2,12,3
INS-1399,0.77,79,Neuro,High,Intermediate,64,0,32,4
INS-1400,0.82,103,Neuro,Medium,Resident,97,0,28,2
INS-1401,0.5,85,Orthopedic,High,Expert,104,4,33,2
INS-1402,0.5,298,Neuro,High,Expert,15,4,14,3
INS-1403,0.42,232,Cardiac,Low,Intermediate,130,1,12,3
INS-1404,0.84,266,Neuro,Low,Resident,172,1,30,3
INS-1405,0.8,129,Neuro,Medium,Intermediate,59,2,14,5
INS-1406,0.68,107,Orthopedic,High,Intermediate,174,0,33,3
INS-1407,0.91,132,Neuro,High,Intermediate,22,2,18,3
INS-1408,0.88,114,General,High,Expert,34,4,15,3
INS-1409,0.75,118,Orthopedic,High,Resident,132,3,25,4
INS-1410,0.92,177,Neuro,High,Resident,138,4,19,1
INS-1411,0.52,100,Neuro,High,Expert,58,3,25,3
INS-1412,0.47,71,Orthopedic,Medium,Intermediate,131,0,12,1
INS-1413,0.56,265,Neuro,High,Intermediate,44,0,27,2
INS-1414,0.43,156,Cardiac,High,Expert,92,0,20,2
INS-1415,0.72,158,General,High,Resident,62,1,28,1
INS-1416,0.96,165,General,Medium,Expert,85,1,34,2
INS-1417,0.42,150,Cardiac,High,Resident,113,3,32,3
INS-1418,0.47,230,Neuro,Medium,Resident,56,2,24,1
INS-1419,0.67,149,Neuro,Low,Resident,52,2,20,2
INS-1420,0.96,213,General,High,Intermediate,157,3,34,1
INS-1421,0.59,117,Neuro,Medium,Intermediate,170,1,31,3
INS-1422,0.7,85,General,Low,Expert,102,4,33,1
INS-1423,0.42,229,General,Medium,Expert,153,3,19,5
INS-1424,0.49,230,Cardiac,Medium,Intermediate,87,2,18,2
INS-1425,0.99,259,General,Low,Expert,16,3,12,0
INS-1426,0.98,227,Neuro,High,Intermediate,79,3,32,3
INS-1427,0.4,257,Neuro,High,Intermediate,158,0,18,3
INS-1428,0.97,218,Orthopedic,Medium,Resident,45,1,27,4
INS-1429,0.78,195,Neuro,Low,Resident,113,0,21,3
INS-1430,0.92,71,Orthopedic,High,Intermediate,63,1,32,4
INS-1431,0.67,115,General,Medium,Resident,156,3,30,3
INS-1432,0.71,70,Neuro,Low,Intermediate,34,1,33,2
INS-1433,0.69,149,Cardiac,Medium,Resident,76,2,25,5
INS-1434,0.8,177,Cardiac,Low,Expert,118,0,13,3
INS-1435,0.48,93,Cardiac,High,Expert,57,3,10,1
INS-1436,0.42,152,General,High,Intermediate,179,2,22,2
INS-1437,0.58,96,General,Medium,Intermediate,100,1,17,5
INS-1438,0.82,88,Orthopedic,High,Resident,179,1,15,2
INS-1439,0.52,78,Cardiac,High,Resident,11,2,17,4
INS-1440,0.8,103,Orthopedic,Low,Intermediate,143,1,28,6
INS-1441,0.98,139,Orthopedic,High,Expert,136,0,33,2
INS-1442,0.46,134,Neuro,Low,Expert,55,4,33,0
INS-1443,0.8,66,Neuro,Low,Intermediate,115,1,21,3
INS-1444,0.67,129,Cardiac,Medium,Expert,49,3,10,2
INS-1445,0.92,237,General,Low,Intermediate,67,1,13,1
INS-1446,0.51,208,Neuro,High,Resident,87,3,32,2
INS-1447,0.82,292,General,Low,Expert,42,1,22,4
INS-1448,0.9,122,Orthopedic,Low,Expert,71,1,26,1
INS-1449,0.97,272,Orthopedic,Medium,Resident,21,3,28,2
INS-1450,0.81,255,Orthopedic,High,Resident,135,0,28,1
INS-1451,0.7,98,Orthopedic,High,Expert,58,4,31,3
INS-1452,0.77,150,Cardiac,High,Expert,97,4,14,2
INS-1453,0.92,51,Orthopedic,Low,Intermediate,87,0,20,1
INS-1454,0.74,293,Neuro,High,Intermediate,14,1,16,1
INS-1455,0.42,225,Orthopedic,High,Expert,78,4,12,2
INS-1456,0.96,287,General,Low,Intermediate,120,0,20,2
INS-1457,0.81,191,Neuro,Medium,Resident,169,0,26,0
INS-1458,0.81,108,General,Medium,Intermediate,69,4,20,1
INS-1459,0.53,146,General,Low,Intermediate,55,3,24,2
INS-1460,0.8,148,Cardiac,Medium,Expert,178,2,28,2
INS-1461,0.64,235,Cardiac,Medium,Intermediate,22,3,17,3
INS-1462,0.79,152,General,Medium,Expert,117,1,25,5
INS-1463,0.46,235,General,High,Expert,121,3,30,3
INS-1464,0.79,288,Orthopedic,Medium,Expert,109,2,24,5
INS-1465,1.0,228,Neuro,High,Resident,155,2,12,3
INS-1466,0.43,261,Orthopedic,Medium,Intermediate,122,0,33,8
INS-1467,0.99,51,Cardiac,High,Intermediate,106,1,15,3
INS-1468,0.64,292,Cardiac,Low,Intermediate,60,0,12,0
INS-1469,0.92,90,Orthopedic,Low,Expert,127,3,14,1
INS-1470,0.87,260,Neuro,Medium,Resident,45,3,10,3
INS-1471,0.74,172,General,High,Expert,90,4,31,1
INS-1472,0.84,278,Orthopedic,Low,Intermediate,112,0,23,3
INS-1473,0.93,131,Cardiac,Low,Expert,43,0,21,3
INS-1474,0.64,193,Neuro,Low,Expert,149,0,22,1
INS-1475,0.6,181,Cardiac,Low,Intermediate,142,0,23,4
INS-1476,0.8,189,Neuro,Medium,Expert,57,2,34,4
INS-1477,0.88,78,Neuro,High,Expert,113,4,21,3
INS-1478,0.86,184,Neuro,Low,Resident,100,1,32,4
INS-1479,0.88,63,Orthopedic,Medium,Expert,133,1,22,4
INS-1480,0.66,296,Orthopedic,Low,Resident,49,1,33,3
INS-1481,0.89,61,Orthopedic,Low,Intermediate,150,2,15,6
INS-1482,0.47,148,Neuro,Low,Resident,35,4,30,5
INS-1483,0.73,182,Neuro,Low,Expert,151,4,24,1
INS-1484,0.4,130,Cardiac,Medium,Intermediate,105,2,31,2
INS-1485,0.59,299,General,High,Expert,148,0,32,4
INS-1486,0.62,155,Orthopedic,Medium,Expert,175,3,25,3
INS-1487,0.64,81,Neuro,Medium,Resident,89,0,18,4
INS-1488,0.82,123,Cardiac,Medium,Expert,66,1,17,4
INS-1489,0.63,220,Cardiac,Low,Resident,159,0,14,2
INS-1490,0.67,130,Cardiac,High,Intermediate,120,2,24,2
INS-1491,0.54,118,Orthopedic,Low,Intermediate,153,1,16,4
INS-1492,0.62,94,Orthopedic,Medium,Expert,85,3,33,0
INS-1493,0.54,155,General,Low,Resident,38,1,26,2
INS-1494,0.44,186,Cardiac,High,Expert,139,0,25,5
INS-1495,0.76,226,Orthopedic,High,Expert,11,4,33,4
INS-1496,0.8,210,Cardiac,Low,Expert,12,4,20,0
INS-1497,0.77,277,Neuro,Medium,Expert,81,4,16,4
INS-1498,0.68,149,Cardiac,Low,Resident,20,1,20,3
INS-1499,0.63,195,General,Medium,Expert,169,4,11,4
INS-1500,0.92,58,Orthopedic,High,Intermediate,13,2,11,2
INS-1501,0.71,111,Neuro,Low,Resident,146,3,15,4
INS-1502,0.69,234,Orthopedic,High,Expert,97,4,12,4
INS-1503,0.42,78,Neuro,Medium,Resident,122,2,10,0
INS-1504,0.6,174,Cardiac,Medium,Expert,25,2,33,3
INS-1505,0.63,163,Cardiac,Low,Intermediate,95,1,32,2
INS-1506,0.64,255,General,Low,Intermediate,19,1,29,8
INS-1507,0.75,202,General,Low,Intermediate,173,3,25,3
INS-1508,0.72,192,Neuro,High,Resident,33,3,23,3
INS-1509,0.76,183,General,Medium,Intermediate,73,0,26,5
INS-1510,0.86,169,General,Medium,Expert,65,3,27,0
INS-1511,0.89,219,General,High,Expert,98,1,34,1
INS-1512,0.83,206,General,Low,Expert,31,2,13,1
INS-1513,0.97,128,Cardiac,Low,Resident,59,0,12,4
INS-1514,0.41,142,General,High,Resident,56,3,17,3
INS-1515,0.52,53,Cardiac,Medium,Intermediate,32,2,13,2
INS-1516,0.4,131,Cardiac,Medium,Resident,92,1,32,2
INS-1517,0.79,291,Orthopedic,Medium,Expert,28,4,24,1
INS-1518,0.94,234,Cardiac,Medium,Expert,171,0,22,0
INS-1519,0.55,226,Cardiac,High,Expert,38,2,23,5
INS-1520,0.96,221,General,Medium,Resident,70,1,23,3
INS-1521,0.44,280,Cardiac,High,Expert,94,1,14,1
INS-1522,0.96,257,Neuro,Low,Intermediate,44,0,14,0
INS-1523,0.61,124,General,High,Resident,14,0,31,4
INS-1524,0.46,63,General,Medium,Expert,85,3,22,4
INS-1525,0.69,180,General,Low,Expert,16,3,13,5
INS-1526,0.55,292,Orthopedic,High,Resident,178,0,27,3
INS-1527,0.57,163,General,High,Resident,139,0,15,4
INS-1528,0.58,111,Cardiac,High,Intermediate,147,2,14,4
INS-1529,0.88,155,Neuro,Low,Resident,111,3,12,3
INS-1530,0.72,113,General,High,Expert,53,1,29,1
INS-1531,0.59,151,General,Medium,Intermediate,79,3,12,1
INS-1532,0.77,222,Neuro,Low,Expert,100,3,12,1
INS-1533,0.83,155,General,Low,Expert,172,0,29,4
INS-1534,0.56,259,Orthopedic,High,Expert,71,0,11,5
INS-1535,0.65,235,Cardiac,Medium,Resident,29,3,29,1
INS-1536,0.47,69,Neuro,Low,Resident,172,4,27,5
INS-1537,0.51,107,Neuro,High,Expert,174,4,19,5
INS-1538,0.81,161,Orthopedic,Medium,Resident,81,3,33,3
INS-1539,0.51,266,Cardiac,High,Expert,129,4,30,2
INS-1540,0.72,106,Orthopedic,High,Resident,104,3,16,0
INS-1541,0.83,279,Cardiac,Low,Resident,136,0,29,2
INS-1542,0.46,254,Orthopedic,Low,Resident,122,0,31,2
INS-1543,0.74,245,General,High,Intermediate,116,0,23,4
INS-1544,0.55,168,Orthopedic,Low,Resident,89,1,19,1
INS-1545,0.98,255,Neuro,Low,Intermediate,37,0,29,3
INS-1546,0.69,146,Neuro,Medium,Intermediate,169,0,25,5
INS-1547,0.88,141,Neuro,Medium,Intermediate,148,3,15,2
INS-1548,0.73,101,Orthopedic,High,Expert,179,4,26,1
INS-1549,0.43,86,Neuro,High,Resident,160,4,15,7
INS-1550,0.78,57,Neuro,High,Expert,39,0,31,1
INS-1551,0.97,93,General,High,Intermediate,18,0,27,3
INS-1552,0.76,147,General,Medium,Resident,68,0,19,3
INS-1553,0.89,285,Cardiac,Low,Expert,165,3,19,1
INS-1554,0.93,182,Cardiac,Medium,Intermediate,88,3,18,2
INS-1555,0.54,167,Cardiac,High,Expert,112,3,31,2
INS-1556,0.53,118,Orthopedic,High,Expert,123,4,24,3
INS-1557,0.77,208,Cardiac,Medium,Resident,170,1,20,1
INS-1558,0.65,94,Orthopedic,Medium,Resident,56,4,16,2
INS-1559,0.9,186,Orthopedic,High,Expert,107,3,27,2
INS-1560,0.94,283,Cardiac,Low,Resident,159,2,11,3
INS-1561,0.61,81,Cardiac,High,Resident,166,1,11,3
INS-1562,0.54,82,Orthopedic,Medium,Expert,171,0,22,2
INS-1563,0.87,175,General,High,Resident,51,4,20,2
INS-1564,0.56,116,Neuro,High,Resident,56,1,34,7
INS-1565,0.89,79,Neuro,Low,Intermediate,83,2,28,2
INS-1566,0.65,163,Neuro,High,Resident,60,1,29,2
INS-1567,0.8,253,General,High,Intermediate,103,4,10,5
INS-1568,0.46,78,Orthopedic,High,Expert,129,3,26,5
INS-1569,0.77,180,Cardiac,Medium,Intermediate,84,0,29,1
INS-1570,0.67,267,Orthopedic,Medium,Expert,171,3,27,2
INS-1571,0.75,234,Orthopedic,Low,Resident,158,3,17,3
INS-1572,0.5,79,Cardiac,High,Resident,132,4,22,4
INS-1573,0.84,186,General,Medium,Intermediate,150,3,13,2
INS-1574,0.92,203,Neuro,Low,Expert,162,3,28,1
INS-1575,0.53,179,Neuro,High,Resident,131,4,12,2
INS-1576,0.46,111,Orthopedic,Low,Intermediate,30,4,15,1
INS-1577,0.41,52,General,Low,Intermediate,10,2,15,1
INS-1578,0.79,223,Neuro,Low,Intermediate,78,3,31,4
INS-1579,0.76,117,General,Low,Resident,95,1,15,1
INS-1580,0.73,74,Cardiac,Low,Expert,80,0,33,0
